id,texto
22,"A saúde mental na era digital é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. A saúde mental na era digital é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. A saúde mental"
23,"O uso da tecnologia na educação é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. O uso da tecnologia na educação é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma"
24,"O papel da mulher na sociedade contemporânea é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. O papel da mulher na sociedade contemporânea é um problema no Brasil. Muitas pessoas sofrem com isso. O"
25,"Desafios da mobilidade urbana no Brasil é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. Desafios da mobilidade urbana no Brasil é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar"
26,"O trabalho infantil no Brasil é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. O trabalho infantil no Brasil é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam"
27,"A preservação da biodiversidade é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. A preservação da biodiversidade é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. A preservação"
28,"A importância da vacinação em massa é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. A importância da vacinação em massa é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam"
29,"A influência das redes sociais nas relações pessoais é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. A influência das redes sociais nas relações pessoais é um problema no Brasil. Muitas pessoas sofrem com isso. O governo"
30,"O papel da cultura na formação do cidadão é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. O papel da cultura na formação do cidadão é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. O papel"

31,"O tema a violência contra a mulher representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema a violência contra a mulher representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema a violência contra a mulher representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é"
32,"O tema a saúde mental na era digital representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema a saúde mental na era digital representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema a saúde mental na era digital representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse"
33,"O tema desigualdade socioeconômica no brasil representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema desigualdade socioeconômica no brasil representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema desigualdade socioeconômica no brasil representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema desigualdade socioeconômica no brasil representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema,"
34,"O tema o papel da mulher na sociedade contemporânea representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema o papel da mulher na sociedade contemporânea representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema o papel da mulher na sociedade contemporânea"
35,"O tema o desperdício de alimentos representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema o desperdício de alimentos representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema o desperdício de alimentos representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema o desperdício de alimentos"
36,"O tema a importância do saneamento básico representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema a importância do saneamento básico representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema a importância do saneamento básico representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema a importância do saneamento básico representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta"
37,"O tema a importância da vacinação em massa representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema a importância da vacinação em massa representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema a importância da vacinação em massa representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas"
38,"O tema o uso da tecnologia na educação representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema o uso da tecnologia na educação representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema o uso da tecnologia na educação representa um desafio atual. A sociedade enfrenta dificuldades"
39,"O tema a liberdade de expressão e seus limites representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema a liberdade de expressão e seus limites representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema a liberdade de expressão e seus limites representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema a liberdade de expressão e seus limites representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que"
40,"O tema o preconceito linguístico no brasil representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema o preconceito linguístico no brasil representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema o preconceito linguístico no brasil representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante"

41,"O tema o preconceito linguístico no brasil representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema o preconceito linguístico no brasil representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema o preconceito linguístico no brasil representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior"
42,"O tema a importância do saneamento básico representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema a importância do saneamento básico representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema a importância do saneamento básico representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque"
43,"O tema a inclusão de pessoas com deficiência representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema a inclusão de pessoas com deficiência representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema a inclusão de pessoas com deficiência representa um desafio atual. A sociedade"
44,"O tema o desperdício de alimentos representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema o desperdício de alimentos representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema o desperdício de alimentos representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema o desperdício de alimentos representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto"
45,"O tema o uso da tecnologia na educação representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema o uso da tecnologia na educação representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema o uso da tecnologia na educação representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros."
46,"O tema desigualdade socioeconômica no brasil representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema desigualdade socioeconômica no brasil representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema desigualdade socioeconômica no brasil representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes"
47,"O tema o trabalho infantil no brasil representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema o trabalho infantil no brasil representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema o trabalho infantil no brasil representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema o trabalho infantil no brasil representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É"
48,"O tema o papel da mulher na sociedade contemporânea representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema o papel da mulher na sociedade contemporânea representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema o papel da mulher na sociedade contemporânea representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema"
49,"O tema a violência contra a mulher representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema a violência contra a mulher representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema a violência contra a mulher representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema a violência contra"
50,"O tema a influência das redes sociais nas relações pessoais representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema a influência das redes sociais nas relações pessoais representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema a influência das redes sociais nas relações pessoais representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema a influência das redes sociais nas relações pessoais representa"

51,"O tema o papel da mulher na sociedade contemporânea representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema o papel da mulher na sociedade contemporânea representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema o papel da mulher na sociedade contemporânea representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas"
52,"O tema a preservação da biodiversidade representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema a preservação da biodiversidade representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível superar esse obstáculo. O tema a preservação da biodiversidade representa um desafio atual. A sociedade enfrenta dificuldades por conta desse problema, que impacta a qualidade de vida de muitos brasileiros. É importante que o governo, junto com a população, busque soluções práticas para mudar esse cenário. Com políticas públicas eficientes e maior conscientização, é possível"
